item_id,name_th,name_en,category,plate_color,price_baht,description_th,keywords,allergens_verified
S001,ซูชิแซลมอน,Salmon Sushi,ปลาดิบ,แดง,40,ซูชิหน้าแซลมอนสดชิ้นหนา รสมันหวานละมุน,แซลมอน;salmon,fish
S002,ซูชิทูน่า,Tuna Sushi,ปลาดิบ,แดง,40,ซูชิหน้าปลาทูน่าสด เนื้อแน่นรสกลมกล่อม,ทูน่า;tuna;ปลาทูน่า,fish
S003,ซูชิปลาไหล,Eel Sushi (Unagi),ปลาดิบ,ทอง,80,ซูชิหน้าปลาไหลย่างซอสเทริยากิ หวานหอม,ปลาไหล;อุนางิ;unagi;eel,fish;soy;gluten
S004,ซูชิปลาหมึก,Squid Sushi,ปลาดิบ,แดง,40,ซูชิหน้าปลาหมึกสด เนื้อเด้งกรุบ,ปลาหมึก;squid,molluscs
S005,ซูชิไข่หวาน,Tamago Sushi,ปรุงสุก,แดง,40,ซูชิไข่หวานญี่ปุ่นนุ่มหอม,ไข่หวาน;ทามาโกะ;tamago,egg
S006,ซูชิไข่ปลาแซลมอน,Salmon Roe Sushi (Ikura),ไข่ปลา,ทอง,80,ซูชิหน้าไข่ปลาแซลมอนเม็ดโตแตกในปาก,ไข่ปลาแซลมอน;อิคุระ;ikura;ดิบ;raw,fish
S007,ซูชิไข่หอยเม่น,Sea Urchin Sushi (Uni),ไข่ปลา,ดำ,120,ซูชิหน้าอูนิรสครีมมี่เข้มข้น หายาก,อูนิ;uni;หอยเม่น;ดิบ;raw,molluscs;seafood
S008,ซูชิกุ้งหวาน,Sweet Shrimp Sushi,กุ้ง,แดง,40,ซูชิหน้ากุ้งหวานนุ่มหวานธรรมชาติ,กุ้งหวาน;shrimp;ดิบ;raw,crustacean
S009,ซูชิกุ้งเทมปุระ,Shrimp Tempura Sushi,กุ้งปรุงสุก,เงิน,60,ซูชิกุ้งชุบแป้งทอดกรอบ ราดซอส,กุ้งทอด;เทมปุระ;tempura,crustacean;soy;gluten
S010,ซูชิเนื้อปูอัด,Crab Stick Sushi,ปู,แดง,40,ซูชิหน้าปูอัดราดมายองเนส,ปูอัด;crab stick,crustacean;fish;soy;gluten
S011,ซูชิปูเบนิซูไว,Benizuwai Crab Sushi,ปู,ทอง,80,ซูชิหน้าเนื้อปูแดงพันธุ์เบนิซูไวสดหวาน,ปูเบนิซูไว;crab,crustacean
S012,ซูชิหอยเชลล์,Scallop Sushi (Hotate),หอย,ทอง,80,ซูชิหน้าหอยเชลล์สดฉ่ำหวาน,โฮตาเตะ;hotate;scallop;ดิบ;raw,molluscs
S013,ซูชิหอยนางรม,Oyster Sushi,หอย,ทอง,80,ซูชิหน้าหอยนางรมสดพร้อมวาซาบิ,หอยนางรม;oyster;ดิบ;raw,molluscs
S014,ซูชิปลาแซลมอนย่างเนยเลมอน,Grilled Salmon Butter Lemon Sushi,ปลาปรุงสุก,เงิน,60,ซูชิแซลมอนย่างเนยเลมอนหอมมัน,แซลมอนย่าง;grilled salmon,fish;soy
S015,ซูชิโอโทโร่,Otoro (Fatty Tuna) Sushi,ปลาดิบ,ดำ,120,ซูชิหน้าท้องทูน่าไขมันสูง เนื้อละลายในปาก,โอโทโร่;otoro;fatty tuna,fish
S016,ซูชิหน้าท้องแซลมอน,Salmon Belly Sushi,ปลาดิบ,เงิน,60,ซูชิหน้าท้องแซลมอนมันฉ่ำ,ท้องแซลมอน;salmon belly,fish
S017,ซูชิปลาแมคเคอเรล,Mackerel Sushi (Saba),ปลาดิบ,เงิน,60,ซูชิหน้าปลาซาบะหมักน้ำส้มรสจัดจ้าน,ซาบะ;saba;mackerel,fish
S018,ซูชิปลาคัมปาจิ,Kampachi Sushi,ปลาดิบ,ทอง,80,ซูชิหน้าปลาคัมปาจิเนื้อแน่นหวาน,คัมปาจิ;kampachi,fish
S019,ซูชิไข่กุ้ง,Shrimp Roe Sushi,ไข่กุ้ง,เงิน,60,ซูชิหน้าไข่กุ้งกรุบกรอบรสเค็มมัน,ไข่กุ้ง;shrimp roe;ดิบ;raw,crustacean
S020,ซูชิปลาหมึกยักษ์,Octopus Sushi,ปลาดิบ,แดง,40,ซูชิหน้าปลาหมึกยักษ์ต้มเนื้อเหนียวนุ่ม,ปลาหมึกยักษ์;octopus;tako,molluscs
R001,แคลิฟอร์เนียโรล,California Roll,ปู,เงิน,60,ซูชิม้วนไส้ปูอัด อะโวคาโด แตงกวา,แคลิฟอร์เนียโรล;california roll,crustacean;egg;sesame
R002,ข้าวปั้นหน้าแซลมอนสไปซี่,Spicy Salmon Roll,ปลาดิบ,เงิน,60,ซูชิม้วนแซลมอนซอสสไปซี่มายองเนส,สไปซี่แซลมอน;spicy salmon roll,fish;soy;sesame
R003,เทมปุระโรล,Tempura Roll,กุ้งปรุงสุก,เงิน,60,ซูชิม้วนไส้กุ้งเทมปุระกรอบ,เทมปุระโรล;tempura roll,gluten;crustacean
R004,อุนางิโรล,Unagi Roll,ปลาปรุงสุก,ทอง,80,ซูชิม้วนไส้ปลาไหลย่างซอสเทริยากิ,อุนางิโรล;unagi roll,fish;soy;sesame
R005,เนกิโทโร่โรล,Negitoro Roll,ปลาดิบ,ทอง,80,ซูชิม้วนไส้ทูน่าสับผสมต้นหอม,เนกิโทโร่;negitoro roll,fish;soy;sesame
F001,เกี๊ยวซ่าทอด,Fried Gyoza,ของทอด,เงิน,60,เกี๊ยวซ่าไส้หมูทอดกรอบเสิร์ฟพร้อมซอส,เกี๊ยวซ่า;gyoza,gluten;sesame;soy;pork
F002,คาราอาเกะไก่ทอด,Chicken Karaage,ของทอด,เงิน,60,ไก่ทอดสไตล์ญี่ปุ่นเนื้อนุ่มชุ่มฉ่ำ,ไก่ทอด;คาราอาเกะ;karaage,gluten;soy
F003,เท็มปุระผัก,Vegetable Tempura,ของทอด,แดง,40,ผักรวมชุบแป้งทอดกรอบ,เทมปุระผัก;vegetable tempura,soy;gluten
F004,ทาโกะยากิ,Takoyaki,ของทอด,เงิน,60,ลูกชิ้นแป้งไส้ปลาหมึกทอดราดซอสทาโกะยากิ,ทาโกะยากิ;takoyaki,egg;molluscs;gluten
F005,เอบิฟราย,Fried Prawn (Ebi Fry),ของทอด,ทอง,80,กุ้งชุบเกล็ดขนมปังทอดกรอบตัวใหญ่,เอบิฟราย;ebi fry,crustacean;gluten
C001,ซุปมิโสะ,Miso Soup,ซุป,แดง,40,ซุปเต้าเจี้ยวญี่ปุ่นใส่เต้าหู้และสาหร่าย,มิโสะซุป;miso soup;ซุปมิโซะ,soy;gluten
C002,ซุปไข่,Egg Soup,ซุป,แดง,40,ซุปไข่ญี่ปุ่นรสอ่อนหอมกลิ่นสาหร่าย,ซุปไข่;egg soup,egg
